tld,DNSSEC enabled %,DNSSEC Enabled?,#Days of no DNSSEC in 2019,#Days of no DNSSEC in 2020,#Days of no DNSSEC in 2021,#Days of no DNSSEC,First DNSSEC enabled
.xn--czru2d,0.0,disabled,339,365,365,1069,
.kuokgroup,0.0,disabled,365,365,365,1095,
.baidu,0.0,disabled,365,365,365,1095,
.kyoto,0.0,disabled,353,359,349,1061,
.xn--efvy88h,0.0,disabled,365,365,365,1095,
.firestone,0.0,disabled,365,365,365,1095,
.aol,0.0,disabled,365,365,365,1095,
.xn--fhbei,0.0,disabled,365,365,365,1095,
.kddi,0.0,disabled,364,365,355,1084,
.hisamitsu,0.0,disabled,365,365,365,1095,
.xn--54b7fta0cc,0.0,disabled,,8,,,
.kerrylogistics,0.0,disabled,365,365,365,1095,
.xn--fiq64b,0.0,disabled,363,365,365,1093,
.xn--45q11c,0.0,disabled,339,365,365,1069,
.diy,0.0,disabled,365,365,365,1095,
.xn--42c2d9a,0.0,disabled,365,365,365,1095,
.xn--5su34j936bgsg,0.0,disabled,365,365,365,1095,
.xn--3pxu8k,0.0,disabled,365,365,365,1095,
.dnp,0.0,disabled,364,365,364,1093,
.kia,0.0,disabled,365,365,365,1095,
.raid,0.0,disabled,308,343,315,966,
.kfh,0.0,disabled,365,365,365,1095,
.xn--80ao21a,0.0,disabled,,2,,,
.kerryproperties,0.0,disabled,365,365,365,1095,
.xn--3e0b707e,0.0,disabled,,8,,,
.asda,0.0,disabled,365,365,365,1095,
.arte,0.0,disabled,365,365,365,1095,
.hitachi,0.0,disabled,364,365,364,1093,
.xn--90a3ac,0.0,disabled,,4,,,
.xn--90ae,0.0,disabled,,3,,,
.xn--90ais,0.0,disabled,,8,,,
.xn--3bst00m,0.0,disabled,305,195,240,740,
.xn--30rr7y,0.0,disabled,365,365,365,1095,
.xn--9et52u,0.0,disabled,365,365,365,1095,
.obi,0.0,disabled,352,347,351,1050,
.clubmed,0.0,disabled,365,365,365,1095,
.xn--j1amh,0.0,disabled,,8,,,
.xn--fiqs8s,0.0,disabled,,8,,,
.aero,0.0,disabled,,8,,,
.xn--w4rs40l,0.0,disabled,365,365,365,1095,
.xn--w4r85el8fhu5dnra,0.0,disabled,365,365,365,1095,
.ads,0.0,disabled,365,365,365,1095,
.xn--vhquv,0.0,disabled,365,365,365,1095,
.hyundai,0.0,disabled,365,365,365,1095,
.aeg,0.0,disabled,365,365,365,1095,
.xn--unup4y,0.0,disabled,365,365,365,1095,
.ipiranga,0.0,disabled,365,365,365,1095,
.xn--fjq720a,0.0,disabled,365,365,365,1095,
.afamilycompany,0.0,disabled,365,365,337,1067,
.play,0.0,disabled,365,365,365,1095,
.xn--qxam,0.0,disabled,,3,,,
.xn--qcka1pmc,0.0,disabled,365,365,365,1095,
.playstation,0.0,disabled,365,365,365,1095,
.xn--pssy2u,0.0,disabled,365,365,365,1095,
.xn--pgbs0dh,0.0,disabled,,5,,,
.xn--wgbh1c,0.0,disabled,,1,,,
.pioneer,0.0,disabled,365,365,365,1095,
.intuit,0.0,disabled,365,365,365,1095,
.otsuka,0.0,disabled,364,365,355,1084,
.infiniti,0.0,disabled,364,365,355,1084,
.abb,0.0,disabled,365,365,365,1095,
.zip,0.0,disabled,365,365,365,1095,
.esq,0.0,disabled,365,365,365,1095,
.phd,0.0,disabled,365,365,365,1095,
.abc,0.0,disabled,365,365,365,1095,
.ing,0.0,disabled,365,365,365,1095,
.ericsson,0.0,disabled,365,365,365,1095,
.epson,0.0,disabled,365,365,365,1095,
.panasonic,0.0,disabled,365,365,365,1095,
.yodobashi,0.0,disabled,364,365,355,1084,
.accenture,0.0,disabled,365,365,365,1095,
.pictet,0.0,disabled,365,365,365,1095,
.ice,0.0,disabled,365,365,365,1095,
.pid,0.0,disabled,365,365,365,1095,
.fairwinds,0.0,disabled,365,365,365,1095,
.eat,0.0,disabled,365,365,365,1095,
.xn--otu796d,0.0,disabled,365,365,365,1095,
.xn--kpry57d,0.0,disabled,,3,,,
.duck,0.0,disabled,308,343,315,966,
.amfam,0.0,disabled,319,341,337,997,
.xn--j6w193g,0.0,disabled,,1,,,
.ladbrokes,0.0,disabled,323,,,,
.xn--j1aef,0.0,disabled,365,365,365,1095,
.prod,0.0,disabled,365,365,365,1095,
.xn--imr513n,0.0,disabled,365,365,365,1095,
.drive,0.0,disabled,365,365,365,1095,
.xn--hxt814e,0.0,disabled,339,365,365,1069,
.xn--h2brj9c,0.0,disabled,,5,,,
.honda,0.0,disabled,365,365,365,1095,
.prof,0.0,disabled,365,365,365,1095,
.android,0.0,disabled,365,365,365,1095,
.omega,0.0,disabled,365,365,365,1095,
.xn--flw351e,0.0,disabled,365,365,365,1095,
.americanfamily,0.0,disabled,319,341,337,997,
.xn--lgbbat1ad8j,0.0,disabled,,2,,,
.xn--o3cw4h,0.0,disabled,,8,,,
.xn--mgba3a3ejt,0.0,disabled,365,365,365,1095,
.airbus,0.0,disabled,365,365,365,1095,
.hotmail,0.0,disabled,365,365,365,1095,
.airtel,0.0,disabled,365,365,365,1095,
.xn--node,0.0,disabled,,7,,,
.xn--ngbe9e0a,0.0,disabled,365,365,365,1095,
.jaguar,0.0,disabled,365,365,365,1095,
.xn--mxtq1m,0.0,disabled,315,165,360,840,
.java,0.0,disabled,365,365,365,1095,
.jcb,0.0,disabled,364,365,364,1093,
.orange,0.0,disabled,365,365,365,1095,
.oracle,0.0,disabled,365,365,365,1095,
.dupont,0.0,disabled,351,308,352,1011,
.xn--mgbaam7a8h,0.0,disabled,,6,,,
.xn--mgbaakc7dvf,0.0,disabled,365,365,365,1095,
.onyourside,0.0,disabled,365,365,106,836,
.wme,0.0,disabled,365,365,365,1095,
.weatherchannel,0.0,disabled,365,365,365,1095,
.reit,0.0,disabled,365,365,365,1095,
.capitalone,0.0,disabled,365,365,365,1095,
.food,0.0,disabled,365,365,365,1095,
.nadex,0.0,disabled,365,86,,,
.tatamotors,0.0,disabled,365,365,365,1095,
.nab,0.0,disabled,365,365,365,1095,
.scjohnson,0.0,disabled,308,343,315,966,
.foodnetwork,0.0,disabled,365,365,365,1095,
.map,0.0,disabled,365,365,365,1095,
.ggee,0.0,disabled,364,365,364,1093,
.george,0.0,disabled,365,365,365,1095,
.symantec,0.0,disabled,365,198,,,
.genting,0.0,disabled,365,365,365,1095,
.music,0.0,disabled,,,61,,
.swatch,0.0,disabled,365,365,365,1095,
.suzuki,0.0,disabled,364,365,355,1084,
.gdn,0.0,disabled,,8,,,
.maif,0.0,disabled,365,365,365,1095,
.glade,0.0,disabled,308,343,315,966,
.windows,0.0,disabled,365,365,365,1095,
.nationwide,0.0,disabled,365,365,106,836,
.gmo,0.0,disabled,364,365,364,1093,
.lotte,0.0,disabled,364,365,355,1084,
.nec,0.0,disabled,365,365,365,1095,
.aarp,0.0,disabled,365,365,365,1095,
.tiffany,0.0,disabled,365,365,365,1095,
.gmail,0.0,disabled,365,365,365,1095,
.fly,0.0,disabled,365,365,365,1095,
.tiaa,0.0,disabled,365,365,365,1095,
.cal,0.0,disabled,365,365,365,1095,
.gle,0.0,disabled,365,365,365,1095,
.lundbeck,0.0,disabled,365,365,365,1095,
.lupin,0.0,disabled,365,344,,,
.sca,0.0,disabled,365,365,365,1095,
.macys,0.0,disabled,275,364,365,1004,
.canon,0.0,disabled,364,365,364,1093,
.gbiz,0.0,disabled,365,365,365,1095,
.meet,0.0,disabled,365,365,365,1095,
.search,0.0,disabled,365,365,365,1095,
.meme,0.0,disabled,365,365,365,1095,
.ses,0.0,disabled,365,365,365,1095,
.sohu,0.0,disabled,355,365,365,1085,
.citadel,0.0,disabled,365,365,365,1095,
.softbank,0.0,disabled,365,365,365,1095,
.comsec,0.0,disabled,365,365,365,1095,
.citic,0.0,disabled,363,365,365,1093,
.cityeats,0.0,disabled,365,365,365,1095,
.smart,0.0,disabled,363,365,365,1093,
.mov,0.0,disabled,365,365,365,1095,
.shangrila,0.0,disabled,365,365,365,1095,
.sky,0.0,disabled,365,365,365,1095,
.sharp,0.0,disabled,365,365,365,1095,
.fujixerox,0.0,disabled,365,365,85,815,
.fujitsu,0.0,disabled,365,365,365,1095,
.moto,0.0,disabled,365,365,365,1095,
.mitsubishi,0.0,disabled,365,365,365,1095,
.msd,0.0,disabled,365,365,365,1095,
.sony,0.0,disabled,365,365,365,1095,
.merckmsd,0.0,disabled,365,365,365,1095,
.cookingchannel,0.0,disabled,365,365,365,1095,
.cfa,0.0,disabled,365,365,365,1095,
.stcgroup,0.0,disabled,365,365,365,1095,
.stc,0.0,disabled,365,365,365,1095,
.chanel,0.0,disabled,365,365,365,1095,
.channel,0.0,disabled,365,365,365,1095,
.chase,0.0,disabled,365,365,365,1095,
.mint,0.0,disabled,365,365,365,1095,
.metlife,0.0,disabled,365,250,,,
.spreadbetting,0.0,disabled,365,365,111,841,
.microsoft,0.0,disabled,365,365,365,1095,
.gallo,0.0,disabled,365,365,365,1095,
.chrome,0.0,disabled,365,365,365,1095,
.sener,0.0,disabled,365,365,365,1095,
.sanofi,0.0,disabled,365,365,365,1095,
.samsung,0.0,disabled,365,365,365,1095,
.loft,0.0,disabled,365,365,365,1095,
.grocery,0.0,disabled,365,365,365,1095,
.dclk,0.0,disabled,365,365,365,1095,
.volvo,0.0,disabled,365,365,365,1095,
.ricoh,0.0,disabled,365,365,365,1095,
.rightathome,0.0,disabled,308,203,,,
.guge,0.0,disabled,365,365,365,1095,
.viva,0.0,disabled,365,365,365,1095,
.day,0.0,disabled,365,365,365,1095,
.bharti,0.0,disabled,312,365,365,1042,
.visa,0.0,disabled,365,365,365,1095,
.lefrak,0.0,disabled,365,365,365,1095,
.guardian,0.0,disabled,365,365,365,1095,
.lego,0.0,disabled,365,365,365,1095,
.bing,0.0,disabled,365,365,365,1095,
.lexus,0.0,disabled,365,365,365,1095,
.datsun,0.0,disabled,364,365,355,1084,
.rexroth,0.0,disabled,365,365,365,1095,
.walmart,0.0,disabled,365,365,365,1095,
.nhk,0.0,disabled,364,365,364,1093,
.nissan,0.0,disabled,364,365,355,1084,
.lancome,0.0,disabled,279,,,,
.barefoot,0.0,disabled,365,365,365,1095,
.weir,0.0,disabled,365,365,365,1095,
.firmdale,0.0,disabled,193,353,365,911,
.landrover,0.0,disabled,365,365,365,1095,
.nissay,0.0,disabled,365,365,365,1095,
.weber,0.0,disabled,365,365,365,1095,
.bbt,0.0,disabled,365,365,365,1095,
.nikon,0.0,disabled,365,365,365,1095,
.frontdoor,0.0,disabled,365,365,365,1095,
.weather,0.0,disabled,365,365,365,1095,
.nico,0.0,disabled,364,365,364,1093,
.hangout,0.0,disabled,365,365,365,1095,
.warman,0.0,disabled,323,,,,
.nfl,0.0,disabled,365,365,365,1095,
.nexus,0.0,disabled,365,365,365,1095,
.samsclub,0.0,disabled,365,365,365,1095,
.blanco,0.0,disabled,44,,,,
.travelchannel,0.0,disabled,365,365,365,1095,
.bosch,0.0,disabled,365,365,365,1095,
.living,0.0,disabled,365,365,365,1095,
.lixil,0.0,disabled,365,365,363,1093,
.goo,0.0,disabled,364,365,355,1084,
.netflix,0.0,disabled,365,365,365,1095,
.toyota,0.0,disabled,365,365,365,1095,
.crs,0.0,disabled,358,365,365,1088,
.goldpoint,0.0,disabled,364,365,355,1084,
.bridgestone,0.0,disabled,365,365,365,1095,
.toshiba,0.0,disabled,364,365,355,1084,
.toray,0.0,disabled,365,365,365,1095,
.localhost,0.0,disabled,,8,,,
.crown,0.0,disabled,365,365,365,1095,
.brother,0.0,disabled,365,365,365,1095,
.lipsy,0.0,disabled,365,365,365,1095,
.boo,0.0,disabled,365,365,365,1095,
.csc,0.0,disabled,365,365,365,1095,
.next,0.0,disabled,365,365,365,1095,
.verisign,0.0,disabled,365,365,365,1095,
.nextdirect,0.0,disabled,365,365,365,1095,
.lifestyle,0.0,disabled,365,365,365,1095,
.vanguard,0.0,disabled,365,365,365,1095,
.vana,0.0,disabled,365,365,365,1095,
.bloomberg,0.0,disabled,365,365,365,1095,
.bms,0.0,disabled,365,365,365,1095,
.linde,0.0,disabled,365,365,365,1095,
.dad,0.0,disabled,365,365,365,1095,
.rsvp,0.0,disabled,365,365,365,1095,
.ubs,0.0,disabled,365,365,365,1095,
.ubank,0.0,disabled,365,365,365,1095,
.rwe,0.0,disabled,365,365,365,1095,
.bofa,0.0,disabled,365,365,365,1095,
.etisalat,0.0,disabled,365,365,365,1095,
